ID,mf277w,z,z_upper_err,z_lower_err
CEERS-90891,28.3,14.44,0.48,-1.89
CEERS-64602,28.8,14.32,0.75,-1.41
CEERS-57438,28.3,13.99,0.75,-1.35
CEERS-77647,29,12.7,0.09,-0.66
CEERS-2067,27.8,12.7,0.09,-0.72
CEERS-36796,28.2,12.28,1.59,-0.24
CEERS-70831,28.1,12.07,1.98,-1.08
CEERS-34925,28.4,11.89,1.92,-1.68
CEERS-34685,28.4,11.53,0.51,-0.72
CEERS-16943,27.9,11.08,0.39,-0.36
CEERS-26112,28.3,11.38,0.3,-0.81
CEERS-54306,28.8,11.23,0.36,-0.36
CEERS-76686,28.2,11.11,0.33,-0.36
CEERS-87379,27.3,11.08,0.24,-0.48
CEERS-85546,27.7,11.08,0.24,-0.6
CEERS-11384,27.5,11.53,0.3,-0.3
CEERS-77367,27.9,10.84,0.54,-0.51
CEERS-47141,28.7,10.66,1.5,-0.48
CEERS-16984,28.5,10.63,0.39,-0.24
CEERS-54903,29,10.6,0.81,-0.36
CEERS-57400,28.7,10.6,0.6,-0.66
CEERS-10332,28.4,10.57,0.18,-1.05
CEERS-92463,28.3,10.51,0.69,-0.6
CEERS-74300,28.2,10.51,0.3,-0.57
CEERS-101746,28.4,10.33,0.24,-0.72
CEERS-19996,28.3,11.32,0.3,-0.9
CEERS-98518,27.4,10.09,0.18,-0.39
CEERS-35590,27.7,10.15,0.36,-0.42
CEERS-99715,27.1,9.76,0.6,-0.09
CEERS-61941,28.9,9.76,1.02,-0.18
CEERS-13452,28.2,9.55,0.78,-0.09
CEERS-76575,28.5,9.55,0.33,-0.06
CEERS-100239,29,9.52,1.05,-0.33
CEERS-26109,28.5,9.43,0.78,-0.27
CEERS-91724,27.1,9.37,0.39,-0.51
CEERS-99689,28.4,9.34,1.17,-0.39
CEERS-90326,29.1,9.25,0.3,-0.27
CEERS-45970,27,9.22,0.12,-0.15
CEERS-17198,28.5,9.22,1.32,-0.15
CEERS-88331,28.4,9.16,1.26,-0.21
CEERS-74442,28.3,9.13,1.23,-0.42
CEERS-42447,28.3,9.13,0.15,-0.21
CEERS-58138,28.2,9.1,0.18,-0.33
CEERS-17898,29.1,9.07,0.15,-2.73
CEERS-39128,27.9,9.07,0.3,-1.26
CEERS-64676,28.9,9.01,0.69,-0.72
CEERS-56878,27.7,9.01,0.3,-0.3
CEERS-1398,29.2,9.01,0.27,-1.53
CEERS-61419,28.1,8.95,1.65,-0.06
CEERS-5007,28.5,8.98,0.27,-0.36
CEERS-47105,28.8,8.95,0.9,-0.24
CEERS-64887,27.3,8.95,0.12,-0.18
CEERS-44441,26.9,8.95,0.06,-0.09
CEERS-13388,28.4,8.95,1.38,-0.66
CEERS-19548,27.4,8.95,0.15,-0.24
CEERS-30173,28,8.95,1.71,-0.36
CEERS-48308,28.2,8.92,0.15,-0.36
CEERS-65503,28.6,8.92,0.39,-0.33
CEERS-78591,27.6,8.92,0.18,-0.36
CEERS-6184,28,8.92,0.03,-0.57
CEERS-89895,27.9,8.89,0.18,-0.21
CEERS-11960,29.1,8.89,0.12,-0.48
CEERS-10545,28.2,8.89,0.06,-0.3
CEERS-61381,28.5,11.29,0.21,-1.56
CEERS-7078,27.1,8.98,0.06,-0.06
CEERS-96512,28.6,8.83,0.15,-0.75
CEERS-82881,27.9,8.83,0.18,-0.24
CEERS-4702,27.5,8.98,0.12,-0.12
CEERS-43833,26.8,9.01,0.09,-0.09
CEERS-83492,27.8,8.74,0.15,-0.18
CEERS-13544,26.6,8.74,0.12,-0.12
CEERS-43725,26.3,8.68,0.06,-0.09
CEERS-65379,28.6,8.71,0.57,-0.6
CEERS-89295,28.7,8.71,0.12,-0.33
CEERS-37891,28,8.68,0.24,-0.63
CEERS-81061,25,8.68,0.06,-0.03
CEERS-66635,27.3,8.65,0.15,-0.18
CEERS-79589,26.5,8.65,0.12,-0.09
CEERS-81784,26.3,8.65,0.12,-0.12
CEERS-25535,29.1,8.65,0.51,-0.39
CEERS-90671,28.1,8.68,0.21,-0.27
CEERS-12240,28.4,8.62,0.3,-0.21
CEERS-88342,28.7,8.59,0.51,-0.45
CEERS-61620,29.2,8.59,0.15,-0.27
CEERS-88518,28.2,8.56,0.42,-0.57
CEERS-20174,28.5,8.56,0.21,-0.51
CEERS-88437,27.5,8.53,0.18,-0.12
CEERS-78984,27.8,8.53,0.15,-0.15
