#Model: 0.219183863331 0.601031497123 -0.767542290670 5.212951406400 2.139010599314 -0.141230884070 -0.215809966418 1.561356903983 -6.135311066029 -5.183160581110 -0.788942095130 8.600539650829 -1.813106464693 0.767409693706 1.772226662045 0.065893676221 -1.914458488523 4.132796292330 -0.920527434035 -0.302161452647 4.960668766481 0.985736962842 2.526451295266 -2.047222742839 4.516695663532 0.033624851517 1.000000000000 2.232131446368 0.138994601898 0.107465061797 0.270386705507 -0.203837747032 0.054232302902 -1.085741666407 0.721040181129 0.454059502051 0.070000000000 0.069734024178 0.005316160864 -0.029266369672 0.311235807926 9.505203556705 -0.006990274105 0.368459641153 0.629028303723 0.421511593441 0 369.052935209963
#Type Subtype Z1 Z2 step1 step2 SM1 SM2 smb1 smb2 R1 R2 Val Err_h Err_l Model_Val MV+ MV- Chi2 Chi2+ Chi2-
ssfr a 1.200000 1.600000 76 90 10.500000 10.800000 70 76 0.000000 0.000000 -9.099671e+00 0.280179 0.280179 -9.018958e+00 1.696268e-02 3.502030e-02 4.695598e-02 2.990364e-02 3.854700e-02
ssfr a 1.200000 1.600000 76 90 10.800000 11.100000 76 82 0.000000 0.000000 -9.297216e+00 0.280179 0.280179 -9.259189e+00 3.043191e-02 3.347354e-02 4.139638e-03 2.692768e-02 4.139638e-03
ssfr a 1.200000 1.600000 76 90 11.100000 12.000000 82 100 0.000000 0.000000 -9.441088e+00 0.280179 0.280179 -9.541226e+00 4.991249e-02 4.266331e-02 8.180928e-02 1.102933e-01 7.017164e-02
smf a 2.500000 3.000000 49 56 9.400000 9.600000 48 52 0.000000 0.000000 -2.612233e+00 0.060828 0.070711 -2.576986e+00 1.994620e-02 3.050331e-02 5.630756e-02 2.581981e-01 5.630756e-02
smf a 2.500000 3.000000 49 56 9.650000 9.850000 53 57 0.000000 0.000000 -2.742233e+00 0.070711 0.080623 -2.753557e+00 1.175763e-02 3.468098e-02 0.000000e+00 1.139259e-01 0.000000e+00
smf a 2.500000 3.000000 49 56 9.900000 10.100000 58 62 0.000000 0.000000 -2.982233e+00 0.080623 0.090554 -2.930305e+00 1.024611e-02 3.700922e-02 1.463906e-01 1.127119e-01 1.463906e-01
smf a 2.500000 3.000000 49 56 10.150000 10.350000 63 67 0.000000 0.000000 -3.172233e+00 0.090554 0.100499 -3.104948e+00 1.187150e-02 3.895134e-02 2.595908e-01 1.521759e-01 2.506301e-01
smf a 2.500000 3.000000 49 56 10.400000 10.600000 68 72 0.000000 0.000000 -3.312233e+00 0.100499 0.130384 -3.281926e+00 1.205620e-02 3.976693e-02 8.441880e-03 4.457291e-02 8.441880e-03
smf a 2.500000 3.000000 49 56 10.650000 10.850000 73 77 0.000000 0.000000 -3.702233e+00 0.130384 0.170294 -3.487701e+00 1.501115e-02 3.743077e-02 2.226044e+00 3.568020e-01 7.742299e-01
smf a 2.500000 3.000000 49 56 10.900000 11.100000 78 82 0.000000 0.000000 -3.962233e+00 0.180278 0.250200 -3.774745e+00 2.280334e-02 3.528037e-02 8.435833e-01 2.705867e-01 3.495037e-01
